    6   1 0.19164E-08 0.14709E-05 0.53257E-04 0.50000E+04
    7   2 0.16797E-08 0.13448E-05 0.31918E-04 0.50000E+04
    8   3 0.20026E-08 0.17230E-05 0.30637E-04 0.86297E+04
    9   4 0.18238E-08 0.22693E-05 0.40293E-04 0.91182E+04
   10   5 0.17802E-08 0.21853E-05 0.27329E-04 0.11458E+05
    1  -1 0.44718E-08 0.42865E-05 0.34511E-04 0.11458E+05
    2  -1 0.29555E-08 0.29207E-05 0.19461E-04 0.11458E+05
    3  -1 0.19698E-08 0.18281E-05 0.11981E-04 0.11458E+05
    4  -1 0.15424E-08 0.13658E-05 0.88215E-05 0.11458E+05
    1  -1 0.29497E-08 0.29417E-05 0.21428E-04 0.11458E+05
    2  -1 0.22582E-08 0.19541E-05 0.12338E-04 0.11458E+05
    3  -1 0.16058E-08 0.14919E-05 0.86725E-05 0.11458E+05
    1  -1 0.23735E-08 0.21642E-05 0.14842E-04 0.11458E+05
    2  -1 0.17429E-08 0.17860E-05 0.96560E-05 0.11458E+05
    1  -1 0.18559E-08 0.19121E-05 0.11235E-04 0.11458E+05
    2  -1 0.16127E-08 0.15549E-05 0.78678E-05 0.11458E+05
    1  -1 0.16970E-08 0.15969E-05 0.89705E-05 0.11458E+05
    1  -1 0.58383E-02 0.10000E+01 0.10000E+01 0.73443E+01
    2  -1 0.23968E-02 0.28069E-01 0.00000E+00 0.12636E+02
    3  -1 0.15292E-02 0.11523E-01 0.00000E+00 0.16218E+02
    4  -1 0.10931E-02 0.73520E-02 0.00000E+00 0.19645E+02
    5   0 0.83482E-03 0.52551E-02 0.00000E+00 0.23368E+02
    6   1 0.56935E-03 0.40136E-02 0.00000E+00 0.32214E+02
    7   2 0.36068E-03 0.27373E-02 0.00000E+00 0.50744E+02
    8   3 0.27733E-03 0.17340E-02 0.00000E+00 0.97123E+02
    9   4 0.22782E-03 0.20999E-02 0.00000E+00 0.12318E+03
   10  -1 0.19270E-03 0.19159E-02 0.00000E+00 0.14461E+03
   11   0 0.16542E-03 0.17588E-02 0.00000E+00 0.15403E+03
   12   1 0.14786E-03 0.15099E-02 0.00000E+00 0.16054E+03
   13   2 0.11792E-03 0.13496E-02 0.00000E+00 0.17503E+03
   14   3 0.94864E-04 0.10764E-02 0.00000E+00 0.37817E+03
   15   4 0.78708E-04 0.17294E-02 0.00000E+00 0.41344E+03
   16  -1 0.66669E-04 0.14836E-02 0.00000E+00 0.44206E+03
   17   0 0.57130E-04 0.12932E-02 0.00000E+00 0.45399E+03
   18   1 0.52486E-04 0.11082E-02 0.00000E+00 0.45799E+03
   19   2 0.42245E-04 0.10181E-02 0.00000E+00 0.46743E+03
   20   3 0.31957E-04 0.81945E-03 0.00000E+00 0.58684E+03
   21   4 0.23879E-04 0.76327E-03 0.00000E+00 0.59878E+03
   22  -1 0.17978E-04 0.57641E-03 0.00000E+00 0.60379E+03
   23   0 0.13678E-04 0.43755E-03 0.00000E+00 0.60194E+03
   24   1 0.12615E-04 0.33289E-03 0.00000E+00 0.60242E+03
   25   2 0.10133E-04 0.30702E-03 0.00000E+00 0.60354E+03
